video_id,file_name,source_path,relative_path,file_exists,file_size_bytes,duration_seconds_matrix,duration_seconds_ffprobe,resolution_matrix,resolution_ffprobe,aspect_ratio_matrix,fps,video_codec,audio_present,audio_codec,ffprobe_status,ffprobe_error,ffmpeg_decode_status,ffmpeg_decode_error,frame_timecodes,contact_sheet_created,contact_sheet_status,contact_sheet_path_local_ignored,metadata_validation_note
fv_0031,一个小球帮你练出少女腹.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个小球帮你练出少女腹.mp4,已发/一个小球帮你练出少女腹.mp4,true,13284415,10.077,10.077,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:00.806；00:00:01.814；00:00:03.225；00:00:04.837；00:00:06.449；00:00:08.062；00:00:09.727,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0031.jpg,technical_validation_only_not_content_validation
fv_0032,一个瑜伽小球告别小肚腩妈妈臀.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个瑜伽小球告别小肚腩妈妈臀.mp4,已发/一个瑜伽小球告别小肚腩妈妈臀.mp4,true,20064546,15.209,15.209,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:02.738；00:00:04.867；00:00:07.300；00:00:09.734；00:00:12.167；00:00:14.859,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0032.jpg,technical_validation_only_not_content_validation
fv_0033,一个瑜伽小球告别臀凹陷6.4.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个瑜伽小球告别臀凹陷6.4.mp4,已发/一个瑜伽小球告别臀凹陷6.4.mp4,true,14748341,11.122,11.122,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:00.890；00:00:02.002；00:00:03.559；00:00:05.339；00:00:07.118；00:00:08.898；00:00:10.772,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0033.jpg,technical_validation_only_not_content_validation
fv_0034,一个瑜伽小球告别跑跳漏氵尴尬6.3（2）.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个瑜伽小球告别跑跳漏氵尴尬6.3（2）.mp4,已发/一个瑜伽小球告别跑跳漏氵尴尬6.3（2）.mp4,true,27384872,20.875,20.875,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.757；00:00:06.680；00:00:10.020；00:00:13.360；00:00:16.700；00:00:20.525,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0034.jpg,technical_validation_only_not_content_validation
fv_0035,一个瑜伽小球练出灵动的八爪鱼6.1（3）.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个瑜伽小球练出灵动的八爪鱼6.1（3）.mp4,已发/一个瑜伽小球练出灵动的八爪鱼6.1（3）.mp4,true,21829662,16.974,16.974,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.055；00:00:05.432；00:00:08.148；00:00:10.863；00:00:13.579；00:00:16.624,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0035.jpg,technical_validation_only_not_content_validation
fv_0036,一个瑜伽小球练出灵动的八爪鱼6.8（（3）.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个瑜伽小球练出灵动的八爪鱼6.8（（3）.mp4,已发/一个瑜伽小球练出灵动的八爪鱼6.8（（3）.mp4,true,40404169,31.904,31.904,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:05.743；00:00:10.209；00:00:15.314；00:00:20.419；00:00:25.523；00:00:31.554,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0036.jpg,technical_validation_only_not_content_validation
fv_0037,一个瑜伽小球练出紧致八爪鱼.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个瑜伽小球练出紧致八爪鱼.mp4,已发/一个瑜伽小球练出紧致八爪鱼.mp4,true,29638945,23.173,23.173,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:04.171；00:00:07.415；00:00:11.123；00:00:14.831；00:00:18.538；00:00:22.823,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0037.jpg,technical_validation_only_not_content_validation
fv_0038,一个瑜伽小球练出美丽的八爪鱼.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个瑜伽小球练出美丽的八爪鱼.mp4,已发/一个瑜伽小球练出美丽的八爪鱼.mp4,true,19624994,15.069,15.069,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:02.712；00:00:04.822；00:00:07.233；00:00:09.644；00:00:12.055；00:00:14.719,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0038.jpg,technical_validation_only_not_content_validation
fv_0039,一个瑜伽小球练出美丽的盆底肌6.1（4）.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个瑜伽小球练出美丽的盆底肌6.1（4）.mp4,已发/一个瑜伽小球练出美丽的盆底肌6.1（4）.mp4,true,22916810,17.67,17.670,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:01.000；00:00:03.181；00:00:05.654；00:00:08.482；00:00:11.309；00:00:14.136；00:00:17.320,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0039.jpg,technical_validation_only_not_content_validation
fv_0040,一个瑜伽小球练出美丽的马甲线6.2.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/一个瑜伽小球练出美丽的马甲线6.2.mp4,已发/一个瑜伽小球练出美丽的马甲线6.2.mp4,true,14437412,11.285,11.285,1080x1920,1080x1920,9:16,30,h264,true,aac,success,,success,,00:00:00.000；00:00:00.903；00:00:02.031；00:00:03.611；00:00:05.417；00:00:07.222；00:00:09.028；00:00:10.935,yes,created,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/api_outputs/finished_video_ali_recheck_100/contact_sheets/fv_0040.jpg,technical_validation_only_not_content_validation
